Region,Year,PIN
Austria,1973,112
Austria,1972,80
Austria,1971,110
Austria,1970,106
Austria,1969,118
Austria,1968,109
Austria,1967,99
Austria,1966,116
Austria,1965,116
Austria,1964,137
Austria,1963,124
Austria,1962,101
Austria,1961,120
Azerbaijan,2007,88
Azerbaijan,2006,114
Azerbaijan,2005,159
Azerbaijan,2004,119
Azerbaijan,2003,93
Azerbaijan,2002,73
Azerbaijan,2001,92
Azerbaijan,2000,115
Azerbaijan,1999,92
Azerbaijan,1998,111
Azerbaijan,1997,116
Azerbaijan,1996,163
Azerbaijan,1995,177
Azerbaijan,1994,215
Azerbaijan,1993,274
Azerbaijan,1992,321
Bangladesh,2007,106
Bangladesh,2006,112
Bangladesh,2005,106
Bangladesh,2004,98
Bangladesh,2003,102
Bangladesh,2002,103
Bangladesh,2001,107
Bangladesh,2000,100
Bangladesh,1999,91
Bangladesh,1998,101
Bangladesh,1997,123
Bangladesh,1996,107
Bangladesh,1995,96
Bangladesh,1994,115
Bangladesh,1993,104
Bangladesh,1992,112
Bangladesh,1991,112
Bangladesh,1990,103
Bangladesh,1989,102
Bangladesh,1988,105
Bangladesh,1987,131
Bangladesh,1986,161
Bangladesh,1985,148
Bangladesh,1984,109
Bangladesh,1983,114
Bangladesh,1982,109
Bangladesh,1981,103
Bangladesh,1980,102
Bangladesh,1979,119
Bangladesh,1978,129
Bangladesh,1977,118
Bangladesh,1976,101
Bangladesh,1975,91
Bangladesh,1974,87
Bangladesh,1973,117
Bangladesh,1972,121
Bangladesh,1971,89
Bangladesh,1970,129
Bangladesh,1969,138
Bangladesh,1968,113
Bangladesh,1967,132
Bangladesh,1966,125
Bangladesh,1965,131
Bangladesh,1964,104
Bangladesh,1963,113
Bangladesh,1962,120
Bangladesh,1961,129
Belarus,2007,120
Belarus,2006,94
Belarus,2005,152
Belarus,2004,169
Belarus,2003,128
Belarus,2002,89
Belarus,2001,105
Belarus,2000,118
Belarus,1999,76
Belarus,1998,111
Belarus,1997,94
Belarus,1996,159
Belarus,1995,189
Belarus,1994,156
Belarus,1993,174
Belarus,1992,190
Belgium,2007,108
Belgium,2006,105
Belgium,2005,113
Belgium,2004,118
Belgium,2003,123
Belgium,2002,117
Belgium,2001,98
Belgium,2000,101
Belgium,1999,100
Belgium,1998,79
Belgium,1997,79
Belgium,1996,77
Belgium,1995,103
Belgium,1994,109
Belgium,1993,100
Belgium,1992,70
Belgium,1991,62
Belgium,1990,66
Belgium,1989,69
Belgium,1988,49
Belgium,1987,48
Belgium,1986,50
Belgium,1985,45
Belgium,1984,39
Belgium,1983,36
Belgium,1982,36
Belgium,1981,35
Belgium,1980,33
Belgium,1979,34
Belgium,1978,42
Belgium,1977,49
Belgium,1976,38
Belgium,1975,47
Belgium,1974,58
Belgium,1973,44
Belgium,1972,44
Belgium,1971,42
Belgium,1970,26
Belgium,1969,36
Belgium,1968,39
Belgium,1967,46
Belgium,1966,42
Belgium,1965,46
Belgium,1964,54
Belgium,1963,53
Belgium,1962,49
Belgium,1961,44
Belize,2007,29
Belize,2006,61
Belize,2005,34
Belize,2004,149
Belize,2003,148
Belize,2002,146
Belize,2001,148
Belize,2000,106
Belize,1999,45
Belize,1998,60
Belize,1997,0
Belize,1996,0
Belize,1995,0
Belize,1994,0
Belize,1993,0
Belize,1992,0
Belize,1991,0
Belize,1990,0
Belize,1989,0
Belize,1988,0
Belize,1987,0
Belize,1986,0
Belize,1985,0
Belize,1984,0
Belize,1983,0
Belize,1982,0
Belize,1981,0
Belize,1980,0
Belize,1979,0
Belize,1978,0
Belize,1977,0
Belize,1976,0
Belize,1975,0
Belize,1974,0
Belize,1973,0
Belize,1972,0
Belize,1971,0
Belize,1970,0
Belize,1969,0
Belize,1968,0
Belize,1967,0
Belize,1966,0
Belize,1965,0
Belize,1964,0
Belize,1963,0
Belize,1962,0
Belize,1961,0
Benin,2007,78
Benin,2006,74
Benin,2005,88
Benin,2004,108
Benin,2003,106
Benin,2002,125
Benin,2001,101
Benin,2000,109
Benin,1999,88
Benin,1998,108
Benin,1997,111
Benin,1996,119
Benin,1995,93
Benin,1994,74
Benin,1993,83
Benin,1992,49
Benin,1991,54
Benin,1990,42
Benin,1989,31
Benin,1988,33
Benin,1987,20
Benin,1986,35
Benin,1985,25
Benin,1984,25
Benin,1983,12
Benin,1982,9
Benin,1981,4
Benin,1980,4
Benin,1979,6
Benin,1978,5
Benin,1977,4
Benin,1976,5
Benin,1975,7
Benin,1974,9
Benin,1973,13
Benin,1972,15
Benin,1971,14
Benin,1970,10
Benin,1969,7
Benin,1968,6
Benin,1967,4
Benin,1966,3
Benin,1965,3
Benin,1964,2
Benin,1963,1
Benin,1962,2
Benin,1961,2
Bhutan,2007,100
Bhutan,2006,100
Bhutan,2005,100
Bhutan,2004,100
Bhutan,2003,100
Bhutan,2002,100
Bhutan,2001,100
Bhutan,2000,100
Bhutan,1999,100
Bhutan,1998,100
Bhutan,1997,100
Bhutan,1996,100
Bhutan,1995,100
Bhutan,1994,100
Bhutan,1993,98
Bhutan,1992,95
Bhutan,1991,92
Bhutan,1990,90
Bhutan,1989,88
Bhutan,1988,85
Bhutan,1987,80
Bhutan,1986,73
Bhutan,1985,69
Bhutan,1984,60
Bhutan,1983,58
Bhutan,1982,47
Bhutan,1981,47
Bhutan,1980,44
Bhutan,1979,18
Bhutan,1978,18
Bhutan,1977,18
Bhutan,1976,17
Bhutan,1975,17
Bhutan,1974,16
Bhutan,1973,15
Bhutan,1972,15
Bhutan,1971,15
Bhutan,1970,14
Bhutan,1969,14
Bhutan,1968,13
Bhutan,1967,12
Bhutan,1966,10
Bhutan,1965,10
Bhutan,1964,9
Bhutan,1963,8
Bhutan,1962,8
Bhutan,1961,8
Bolivia,2007,113
Bolivia,2006,113
Bolivia,2005,113
Bolivia,2004,112
Bolivia,2003,112
Bolivia,2002,112
Bolivia,2001,112
Bolivia,2000,93
Bolivia,1999,94
Bolivia,1998,93
Bolivia,1997,101
Bolivia,1996,106
Bolivia,1995,85
Bolivia,1994,71
Bolivia,1993,59
Bolivia,1992,63
Bolivia,1991,59
Bolivia,1990,58
Bolivia,1989,59
Bolivia,1988,61
Bolivia,1987,55
Bolivia,1986,55
Bolivia,1985,60
Bolivia,1984,51
Bolivia,1983,54
Bolivia,1982,57
Bolivia,1981,66
Bolivia,1980,68
Bolivia,1979,80
Bolivia,1978,81
Bolivia,1977,77
Bolivia,1976,70
Bolivia,1975,88
Bolivia,1974,97
Bolivia,1973,117
Bolivia,1972,70
Bolivia,1971,57
Bolivia,1970,45
Bolivia,1969,41
Bolivia,1968,37
Bolivia,1967,33
Bolivia,1966,32
Bolivia,1965,27
Bolivia,1964,29
Bolivia,1963,25
Bolivia,1962,25
Bolivia,1961,24
Bosnia and Herzegovina,2007,106
Bosnia and Herzegovina,2006,119
Bosnia and Herzegovina,2005,127
Bosnia and Herzegovina,2004,121
Bosnia and Herzegovina,2003,96
Bosnia and Herzegovina,2002,137
Bosnia and Herzegovina,2001,100
Bosnia and Herzegovina,2000,90
Bosnia and Herzegovina,1999,109
Bosnia and Herzegovina,1998,119
Bosnia and Herzegovina,1997,72
Bosnia and Herzegovina,1996,57
Bosnia and Herzegovina,1995,59
Bosnia and Herzegovina,1994,55
Bosnia and Herzegovina,1993,78
Bosnia and Herzegovina,1992,78
Botswana,2007,91
Botswana,2006,91
Botswana,2005,91
Botswana,2004,91
Botswana,2003,91
Botswana,2002,91
Botswana,2001,106
Botswana,2000,106
Botswana,1999,86
Botswana,1998,84
Botswana,1997,91
Botswana,1996,112
Botswana,1995,112
Botswana,1994,112
Botswana,1993,112
Botswana,1992,112
Botswana,1991,112
Botswana,1990,112
Botswana,1989,112
Botswana,1988,112
Botswana,1987,112
Botswana,1986,112
Botswana,1985,112
Botswana,1984,112
Botswana,1983,112
Botswana,1982,112
Botswana,1981,112
Botswana,1980,112
Botswana,1979,112
Botswana,1978,112
Botswana,1977,112
Botswana,1976,112
Botswana,1975,112
Botswana,1974,112
Botswana,1973,112
Botswana,1972,106
Botswana,1971,130
Botswana,1970,53
Botswana,1969,121
Botswana,1968,96
Botswana,1967,101
Botswana,1966,192
Botswana,1965,237
Botswana,1964,237
Botswana,1963,94
Botswana,1962,94
Botswana,1961,118
Brazil,2007,154
Brazil,2006,144
Brazil,2005,145
Brazil,2004,153
Brazil,2003,110
Brazil,2002,126
Brazil,2001,108
Brazil,2000,102
Brazil,1999,89
Brazil,1998,81
Brazil,1997,72
Brazil,1996,70
Brazil,1995,66
Brazil,1994,77
Brazil,1993,80
Brazil,1992,87
Brazil,1991,87
Brazil,1990,85
Brazil,1989,86
Brazil,1988,90
Brazil,1987,96
Brazil,1986,80
Brazil,1985,109
Brazil,1984,80
Brazil,1983,83
Brazil,1982,73
Brazil,1981,93
Brazil,1980,72
Brazil,1979,79
Brazil,1978,76
Brazil,1977,70
Brazil,1976,46
Brazil,1975,73
Brazil,1974,86
Brazil,1973,69
Brazil,1972,79
Brazil,1971,82
Brazil,1970,61
Brazil,1969,76
Brazil,1968,69
Brazil,1967,74
Brazil,1966,66
Brazil,1965,88
Brazil,1964,60
Brazil,1963,71
Brazil,1962,85
Brazil,1961,79
Brunei Darussalam,2007,109
Brunei Darussalam,2006,109
Brunei Darussalam,2005,123
Brunei Darussalam,2004,123
Brunei Darussalam,2003,104
Brunei Darussalam,2002,104
Brunei Darussalam,2001,104
Brunei Darussalam,2000,99
Brunei Darussalam,1999,96
Brunei Darussalam,1998,89
Brunei Darussalam,1997,89
Brunei Darussalam,1996,74
Brunei Darussalam,1995,74
Brunei Darussalam,1994,84
Brunei Darussalam,1993,84
Brunei Darussalam,1992,86
Brunei Darussalam,1991,89
Brunei Darussalam,1990,89
Brunei Darussalam,1989,91
Brunei Darussalam,1988,93
Brunei Darussalam,1987,91
Brunei Darussalam,1986,89
Brunei Darussalam,1985,89
Brunei Darussalam,1984,84
Brunei Darussalam,1983,84
Brunei Darussalam,1982,86
Brunei Darussalam,1981,91
Brunei Darussalam,1980,96
Brunei Darussalam,1979,69
Brunei Darussalam,1978,71
Brunei Darussalam,1977,79
Brunei Darussalam,1976,152
Brunei Darussalam,1975,198
Brunei Darussalam,1974,176
Brunei Darussalam,1973,180
Brunei Darussalam,1972,34
Brunei Darussalam,1971,82
Brunei Darussalam,1970,170
Brunei Darussalam,1969,200
Brunei Darussalam,1968,107
Brunei Darussalam,1967,254
Brunei Darussalam,1966,375
Brunei Darussalam,1965,471
Brunei Darussalam,1964,778
Brunei Darussalam,1963,689
Brunei Darussalam,1962,857
Brunei Darussalam,1961,1001
Bulgaria,2007,94
Bulgaria,2006,95
Bulgaria,2005,128
Bulgaria,2004,151
Bulgaria,2003,136
Bulgaria,2002,138
Bulgaria,2001,131
Bulgaria,2000,80
Bulgaria,1999,88
Bulgaria,1998,95
Bulgaria,1997,140
Bulgaria,1996,102
Bulgaria,1995,61
Bulgaria,1994,89
Bulgaria,1993,119
Bulgaria,1992,171
Bulgaria,1991,199
Bulgaria,1990,211
Bulgaria,1989,223
Bulgaria,1988,296
Bulgaria,1987,336
Bulgaria,1986,326
Bulgaria,1985,325
Bulgaria,1984,360
Bulgaria,1983,303
Bulgaria,1982,377
Bulgaria,1981,341
Bulgaria,1980,319
Bulgaria,1979,396
Bulgaria,1978,355
Bulgaria,1977,308
Bulgaria,1976,399
Bulgaria,1975,408
Bulgaria,1974,376
Bulgaria,1973,368
Bulgaria,1972,407
Bulgaria,1971,324
Bulgaria,1970,324
Bulgaria,1969,275
Bulgaria,1968,308
Bulgaria,1967,327
Bulgaria,1966,358
Bulgaria,1965,323
Bulgaria,1964,378
Bulgaria,1963,284
Bulgaria,1962,289
Bulgaria,1961,174
Burkina Faso,2007,128
Burkina Faso,2006,247
Burkina Faso,2005,218
Burkina Faso,2004,183
Burkina Faso,2003,142
Burkina Faso,2002,139
Burkina Faso,2001,99
Burkina Faso,2000,95
Burkina Faso,1999,104
Burkina Faso,1998,119
Burkina Faso,1997,125
Burkina Faso,1996,76
Burkina Faso,1995,56
Burkina Faso,1994,58
Burkina Faso,1993,56
Burkina Faso,1992,61
Burkina Faso,1991,61
Burkina Faso,1990,68
Burkina Faso,1989,55
Burkina Faso,1988,51
Burkina Faso,1987,51
Burkina Faso,1986,58
Burkina Faso,1985,40
Burkina Faso,1984,30
Burkina Faso,1983,27
Burkina Faso,1982,26
Burkina Faso,1981,20
Burkina Faso,1980,21
Burkina Faso,1979,26
Burkina Faso,1978,20
Burkina Faso,1977,13
Burkina Faso,1976,18
Burkina Faso,1975,16
Burkina Faso,1974,10
Burkina Faso,1973,9
Burkina Faso,1972,11
Burkina Faso,1971,9
Burkina Faso,1970,8
Burkina Faso,1969,12
Burkina Faso,1968,10
Burkina Faso,1967,5
Burkina Faso,1966,5
Burkina Faso,1965,2
Burkina Faso,1964,3
Burkina Faso,1963,2
Burkina Faso,1962,2
Burkina Faso,1961,1
Burundi,2007,87
Burundi,2006,133
Burundi,2005,68
Burundi,2004,149
Burundi,2003,95
Burundi,2002,139
Burundi,2001,90
Burundi,2000,91
Burundi,1999,118
Burundi,1998,82
Burundi,1997,81
Burundi,1996,108
Burundi,1995,113
Burundi,1994,163
Burundi,1993,132
Burundi,1992,167
Burundi,1991,160
Burundi,1990,146
Burundi,1989,145
Burundi,1988,156
Burundi,1987,165
Burundi,1986,143
Burundi,1985,145
Burundi,1984,122
Burundi,1983,143
Burundi,1982,99
Burundi,1981,168
Burundi,1980,92
Burundi,1979,115
Burundi,1978,98
Burundi,1977,74
Burundi,1976,82
Burundi,1975,69
Burundi,1974,103
Burundi,1973,83
Burundi,1972,73
Burundi,1971,98
Burundi,1970,84
Burundi,1969,61
Burundi,1968,69
Burundi,1967,77
Burundi,1966,60
Burundi,1965,57
Burundi,1964,70
Burundi,1963,30
Burundi,1962,50
Burundi,1961,61
Cambodia,2007,112
Cambodia,2006,110
Cambodia,2005,108
Cambodia,2004,57
Cambodia,2003,93
Cambodia,2002,78
Cambodia,2001,87
Cambodia,2000,107
Cambodia,1999,105
Cambodia,1998,118
Cambodia,1997,116
Cambodia,1996,113
Cambodia,1995,114
Cambodia,1994,122
Cambodia,1993,85
Cambodia,1992,104
Cambodia,1991,99
Cambodia,1990,93
Cambodia,1989,78
Cambodia,1988,76
Cambodia,1987,84
Cambodia,1986,78
Cambodia,1985,69
Cambodia,1984,49
Cambodia,1983,47
Cambodia,1982,37
Cambodia,1981,33
Cambodia,1980,34
Cambodia,1979,39
Cambodia,1978,66
Cambodia,1977,71
Cambodia,1976,76
Cambodia,1975,57
Cambodia,1974,69
Cambodia,1973,57
Cambodia,1972,77
Cambodia,1971,69
Cambodia,1970,83
Cambodia,1969,174
Cambodia,1968,164
Cambodia,1967,157
Cambodia,1966,141
Cambodia,1965,140
Cambodia,1964,138
Cambodia,1963,110
Cambodia,1962,109
Cambodia,1961,134
Cameroon,2007,74
Cameroon,2006,98
Cameroon,2005,99
Cameroon,2004,75
Cameroon,2003,104
Cameroon,2002,85
Cameroon,2001,100
Cameroon,2000,99
Cameroon,1999,100
Cameroon,1998,98
Cameroon,1997,82
Cameroon,1996,105
Cameroon,1995,89
Cameroon,1994,77
Cameroon,1993,69
Cameroon,1992,70
Cameroon,1991,79
Cameroon,1990,72
Cameroon,1989,74
Cameroon,1988,88
Cameroon,1987,63
Cameroon,1986,81
Cameroon,1985,67
Cameroon,1984,76
Cameroon,1983,50
Cameroon,1982,66
Cameroon,1981,62
Cameroon,1980,63
Cameroon,1979,59
Cameroon,1978,56
Cameroon,1977,45
Cameroon,1976,44
Cameroon,1975,49
Cameroon,1974,49
Cameroon,1973,45
Cameroon,1972,49
Cameroon,1971,48
Cameroon,1970,54
Cameroon,1969,54
Cameroon,1968,49
Cameroon,1967,44
Cameroon,1966,39
Cameroon,1965,41
Cameroon,1964,33
Cameroon,1963,34
Cameroon,1962,28
Cameroon,1961,24
Canada,2007,78
Canada,2006,105
Canada,2005,105
Canada,2004,68
Canada,2003,89
Canada,2002,88
Canada,2001,93
Canada,2000,88
Canada,1999,117
Canada,1998,131
Canada,1997,118
Canada,1996,111
Canada,1995,133
Canada,1994,120
Canada,1993,98
Canada,1992,67
Canada,1991,99
Canada,1990,109
Canada,1989,86
Canada,1988,65
Canada,1987,95
Canada,1986,122
Canada,1985,130
Canada,1984,110
Canada,1983,104
Canada,1982,103
Canada,1981,106
Canada,1980,101
Canada,1979,113
Canada,1978,116
Canada,1977,115
Canada,1976,72
Canada,1975,100
Canada,1974,99
Canada,1973,111
Canada,1972,88
Canada,1971,108
Canada,1970,158
Canada,1969,125
Canada,1968,101
Canada,1967,79
Canada,1966,110
Canada,1965,106
Canada,1964,84
Canada,1963,99
Canada,1962,90
Canada,1961,88
Cape Verde,2007,100
Cape Verde,2006,100
Cape Verde,2005,100
Cape Verde,2004,100
Cape Verde,2003,100
Cape Verde,2002,100
Cape Verde,2001,100
Cape Verde,2000,100
Cape Verde,1999,100
Cape Verde,1998,100
Cape Verde,1997,100
Cape Verde,1996,100
Cape Verde,1995,100
Cape Verde,1994,100
Cape Verde,1993,100
Cape Verde,1992,100
Cape Verde,1991,167
Cape Verde,1990,437
Cape Verde,1989,774
Cape Verde,1988,437
Cape Verde,1987,329
Cape Verde,1986,563
Cape Verde,1985,469
Cape Verde,1984,454
Cape Verde,1983,670
Cape Verde,1982,604
Cape Verde,1981,1008
Cape Verde,1980,437
Cape Verde,1979,1112
Cape Verde,1978,841
Cape Verde,1977,457
Cape Verde,1976,1233
Cape Verde,1975,795
Cape Verde,1974,579
Cape Verde,1973,153
Cape Verde,1972,612
Cape Verde,1971,1331
Cape Verde,1970,985
Cape Verde,1969,867
Cape Verde,1968,770
Cape Verde,1967,1066
Cape Verde,1966,982
Cape Verde,1965,553
Cape Verde,1964,463
Cape Verde,1963,469
Cape Verde,1962,348
Cape Verde,1961,550
Central African Republic,2007,15
Central African Republic,2006,18
Central African Republic,2005,19
Central African Republic,2004,22
Central African Republic,2003,25
Central African Republic,2002,74
Central African Republic,2001,103
Central African Republic,2000,104
Central African Republic,1999,91
Central African Republic,1998,134
Central African Republic,1997,163
Central African Republic,1996,170
Central African Republic,1995,114
Central African Republic,1994,118
Central African Republic,1993,72
Central African Republic,1992,91
Central African Republic,1991,112
Central African Republic,1990,130
Central African Republic,1989,132
Central African Republic,1988,147
Central African Republic,1987,116
Central African Republic,1986,127
Central African Republic,1985,125
Central African Republic,1984,162
Central African Republic,1983,124
Central African Republic,1982,138
Central African Republic,1981,101
Central African Republic,1980,113
Central African Republic,1979,123
Central African Republic,1978,129
Central African Republic,1977,126
Central African Republic,1976,150
Central African Republic,1975,128
Central African Republic,1974,153
Central African Republic,1973,136
Central African Republic,1972,144
Central African Republic,1971,124
