Region,Year,PIN,Category
Americas,1983,65,agriculture
Americas,1982,71,agriculture
Americas,1981,71,agriculture
Americas,1980,66,agriculture
Americas,1979,67,agriculture
Americas,1978,64,agriculture
Americas,1977,63,agriculture
Americas,1976,61,agriculture
Americas,1975,59,agriculture
Americas,1974,56,agriculture
Americas,1973,55,agriculture
Americas,1972,55,agriculture
Americas,1971,54,agriculture
Americas,1970,51,agriculture
Americas,1969,51,agriculture
Americas,1968,50,agriculture
Americas,1967,49,agriculture
Americas,1966,48,agriculture
Americas,1965,47,agriculture
Americas,1964,45,agriculture
Americas,1963,45,agriculture
Americas,1962,43,agriculture
Americas,1961,42,agriculture
Asia,2007,122,agriculture
Asia,2006,119,agriculture
Asia,2005,115,agriculture
Asia,2004,111,agriculture
Asia,2003,107,agriculture
Asia,2002,104,agriculture
Asia,2001,102,agriculture
Asia,2000,100,agriculture
Asia,1999,97,agriculture
Asia,1998,94,agriculture
Asia,1997,91,agriculture
Asia,1996,89,agriculture
Asia,1995,85,agriculture
Asia,1994,81,agriculture
Asia,1993,79,agriculture
Asia,1992,76,agriculture
Asia,1991,69,agriculture
Asia,1990,68,agriculture
Asia,1989,65,agriculture
Asia,1988,62,agriculture
Asia,1987,59,agriculture
Asia,1986,58,agriculture
Asia,1985,57,agriculture
Asia,1984,56,agriculture
Asia,1983,53,agriculture
Asia,1982,50,agriculture
Asia,1981,48,agriculture
Asia,1980,45,agriculture
Asia,1979,44,agriculture
Asia,1978,44,agriculture
Asia,1977,41,agriculture
Asia,1976,40,agriculture
Asia,1975,39,agriculture
Asia,1974,37,agriculture
Asia,1973,37,agriculture
Asia,1972,35,agriculture
Asia,1971,35,agriculture
Asia,1970,34,agriculture
Asia,1969,33,agriculture
Asia,1968,32,agriculture
Asia,1967,31,agriculture
Asia,1966,30,agriculture
Asia,1965,29,agriculture
Asia,1964,28,agriculture
Asia,1963,27,agriculture
Asia,1962,26,agriculture
Asia,1961,25,agriculture
Australia and New Zealand,2007,88,agriculture
Australia and New Zealand,2006,89,agriculture
Australia and New Zealand,2005,103,agriculture
Australia and New Zealand,2004,97,agriculture
Australia and New Zealand,2003,100,agriculture
Australia and New Zealand,2002,88,agriculture
Australia and New Zealand,2001,103,agriculture
Australia and New Zealand,2000,98,agriculture
Australia and New Zealand,1999,97,agriculture
Australia and New Zealand,1998,94,agriculture
Australia and New Zealand,1997,90,agriculture
Australia and New Zealand,1996,105,agriculture
Australia and New Zealand,1995,98,agriculture
Australia and New Zealand,1994,90,agriculture
Australia and New Zealand,1993,94,agriculture
Australia and New Zealand,1992,92,agriculture
Australia and New Zealand,1991,87,agriculture
Australia and New Zealand,1990,86,agriculture
Australia and New Zealand,1989,84,agriculture
Australia and New Zealand,1988,85,agriculture
Australia and New Zealand,1987,81,agriculture
Australia and New Zealand,1986,83,agriculture
Australia and New Zealand,1985,82,agriculture
Australia and New Zealand,1984,80,agriculture
Australia and New Zealand,1983,82,agriculture
Australia and New Zealand,1982,71,agriculture
Australia and New Zealand,1981,76,agriculture
Australia and New Zealand,1980,71,agriculture
Australia and New Zealand,1979,77,agriculture
Australia and New Zealand,1978,79,agriculture
Australia and New Zealand,1977,71,agriculture
Australia and New Zealand,1976,73,agriculture
Australia and New Zealand,1975,69,agriculture
Australia and New Zealand,1974,64,agriculture
Australia and New Zealand,1973,69,agriculture
Australia and New Zealand,1972,67,agriculture
Australia and New Zealand,1971,66,agriculture
Australia and New Zealand,1970,64,agriculture
Australia and New Zealand,1969,62,agriculture
Australia and New Zealand,1968,64,agriculture
Australia and New Zealand,1967,57,agriculture
Australia and New Zealand,1966,60,agriculture
Australia and New Zealand,1965,56,agriculture
Australia and New Zealand,1964,57,agriculture
Australia and New Zealand,1963,54,agriculture
Australia and New Zealand,1962,52,agriculture
Australia and New Zealand,1961,48,agriculture
Caribbean,2007,100,agriculture
Caribbean,2006,99,agriculture
Caribbean,2005,101,agriculture
Caribbean,2004,109,agriculture
Caribbean,2003,107,agriculture
Caribbean,2002,106,agriculture
Caribbean,2001,103,agriculture
Caribbean,2000,102,agriculture
Caribbean,1999,94,agriculture
Caribbean,1998,90,agriculture
Caribbean,1997,92,agriculture
Caribbean,1996,94,agriculture
Caribbean,1995,86,agriculture
Caribbean,1994,89,agriculture
Caribbean,1993,89,agriculture
Caribbean,1992,101,agriculture
Caribbean,1991,107,agriculture
Caribbean,1990,111,agriculture
Caribbean,1989,113,agriculture
Caribbean,1988,110,agriculture
Caribbean,1987,108,agriculture
Caribbean,1986,106,agriculture
Caribbean,1985,105,agriculture
Caribbean,1984,109,agriculture
Caribbean,1983,104,agriculture
Caribbean,1982,104,agriculture
Caribbean,1981,101,agriculture
Caribbean,1980,97,agriculture
Caribbean,1979,102,agriculture
Caribbean,1978,100,agriculture
Caribbean,1977,95,agriculture
Caribbean,1976,92,agriculture
Caribbean,1975,86,agriculture
Caribbean,1974,88,agriculture
Caribbean,1973,87,agriculture
Caribbean,1972,84,agriculture
Caribbean,1971,85,agriculture
Caribbean,1970,95,agriculture
Caribbean,1969,80,agriculture
Caribbean,1968,79,agriculture
Caribbean,1967,80,agriculture
Caribbean,1966,75,agriculture
Caribbean,1965,77,agriculture
Caribbean,1964,73,agriculture
Caribbean,1963,70,agriculture
Caribbean,1962,71,agriculture
Caribbean,1961,77,agriculture
Central America,2007,119,agriculture
Central America,2006,116,agriculture
Central America,2005,111,agriculture
Central America,2004,110,agriculture
Central America,2003,107,agriculture
Central America,2002,103,agriculture
Central America,2001,103,agriculture
Central America,2000,99,agriculture
Central America,1999,97,agriculture
Central America,1998,94,agriculture
Central America,1997,90,agriculture
Central America,1996,88,agriculture
Central America,1995,87,agriculture
Central America,1994,82,agriculture
Central America,1993,80,agriculture
Central America,1992,78,agriculture
Central America,1991,77,agriculture
Central America,1990,75,agriculture
Central America,1989,70,agriculture
Central America,1988,71,agriculture
Central America,1987,73,agriculture
Central America,1986,71,agriculture
Central America,1985,70,agriculture
Central America,1984,68,agriculture
Central America,1983,67,agriculture
Central America,1982,65,agriculture
Central America,1981,66,agriculture
Central America,1980,63,agriculture
Central America,1979,60,agriculture
Central America,1978,62,agriculture
Central America,1977,58,agriculture
Central America,1976,53,agriculture
Central America,1975,52,agriculture
Central America,1974,51,agriculture
Central America,1973,49,agriculture
Central America,1972,48,agriculture
Central America,1971,45,agriculture
Central America,1970,43,agriculture
Central America,1969,42,agriculture
Central America,1968,42,agriculture
Central America,1967,40,agriculture
Central America,1966,40,agriculture
Central America,1965,38,agriculture
Central America,1964,35,agriculture
Central America,1963,33,agriculture
Central America,1962,31,agriculture
Central America,1961,29,agriculture
Central Asia,2007,136,agriculture
Central Asia,2006,130,agriculture
Central Asia,2005,125,agriculture
Central Asia,2004,118,agriculture
Central Asia,2003,113,agriculture
Central Asia,2002,109,agriculture
Central Asia,2001,106,agriculture
Central Asia,2000,96,agriculture
Central Asia,1999,96,agriculture
Central Asia,1998,85,agriculture
Central Asia,1997,90,agriculture
Central Asia,1996,89,agriculture
Central Asia,1995,98,agriculture
Central Asia,1994,108,agriculture
Central Asia,1993,117,agriculture
Central Asia,1992,125,agriculture
Central Asia,1991,0,agriculture
Central Asia,1990,0,agriculture
Central Asia,1989,0,agriculture
Central Asia,1988,0,agriculture
Central Asia,1987,0,agriculture
Central Asia,1986,0,agriculture
Central Asia,1985,0,agriculture
Central Asia,1984,0,agriculture
Central Asia,1983,0,agriculture
Central Asia,1982,0,agriculture
Central Asia,1981,0,agriculture
Central Asia,1980,0,agriculture
Central Asia,1979,0,agriculture
Central Asia,1978,0,agriculture
Central Asia,1977,0,agriculture
Central Asia,1976,0,agriculture
Central Asia,1975,0,agriculture
Central Asia,1974,0,agriculture
Central Asia,1973,0,agriculture
Central Asia,1972,0,agriculture
Central Asia,1971,0,agriculture
Central Asia,1970,0,agriculture
Central Asia,1969,0,agriculture
Central Asia,1968,0,agriculture
Central Asia,1967,0,agriculture
Central Asia,1966,0,agriculture
Central Asia,1965,0,agriculture
Central Asia,1964,0,agriculture
Central Asia,1963,0,agriculture
Central Asia,1962,0,agriculture
Central Asia,1961,0,agriculture
Eastern Africa,2007,120,agriculture
Eastern Africa,2006,118,agriculture
Eastern Africa,2005,114,agriculture
Eastern Africa,2004,112,agriculture
Eastern Africa,2003,106,agriculture
Eastern Africa,2002,107,agriculture
Eastern Africa,2001,103,agriculture
Eastern Africa,2000,98,agriculture
Eastern Africa,1999,97,agriculture
Eastern Africa,1998,93,agriculture
Eastern Africa,1997,90,agriculture
Eastern Africa,1996,89,agriculture
Eastern Africa,1995,85,agriculture
Eastern Africa,1994,80,agriculture
Eastern Africa,1993,82,agriculture
Eastern Africa,1992,80,agriculture
Eastern Africa,1991,84,agriculture
Eastern Africa,1990,82,agriculture
Eastern Africa,1989,82,agriculture
Eastern Africa,1988,79,agriculture
Eastern Africa,1987,75,agriculture
Eastern Africa,1986,76,agriculture
Eastern Africa,1985,73,agriculture
Eastern Africa,1984,69,agriculture
Eastern Africa,1983,71,agriculture
Eastern Africa,1982,70,agriculture
Eastern Africa,1981,68,agriculture
Eastern Africa,1980,66,agriculture
Eastern Africa,1979,65,agriculture
Eastern Africa,1978,68,agriculture
Eastern Africa,1977,67,agriculture
Eastern Africa,1976,66,agriculture
Eastern Africa,1975,64,agriculture
Eastern Africa,1974,62,agriculture
Eastern Africa,1973,61,agriculture
Eastern Africa,1972,61,agriculture
Eastern Africa,1971,59,agriculture
Eastern Africa,1970,58,agriculture
Eastern Africa,1969,55,agriculture
Eastern Africa,1968,51,agriculture
Eastern Africa,1967,50,agriculture
Eastern Africa,1966,48,agriculture
Eastern Africa,1965,45,agriculture
Eastern Africa,1964,46,agriculture
Eastern Africa,1963,44,agriculture
Eastern Africa,1962,43,agriculture
Eastern Africa,1961,42,agriculture
Eastern Asia,2007,121,agriculture
Eastern Asia,2006,119,agriculture
Eastern Asia,2005,116,agriculture
Eastern Asia,2004,113,agriculture
Eastern Asia,2003,107,agriculture
Eastern Asia,2002,106,agriculture
Eastern Asia,2001,102,agriculture
Eastern Asia,2000,100,agriculture
Eastern Asia,1999,97,agriculture
Eastern Asia,1998,94,agriculture
Eastern Asia,1997,91,agriculture
Eastern Asia,1996,87,agriculture
Eastern Asia,1995,82,agriculture
Eastern Asia,1994,77,agriculture
Eastern Asia,1993,74,agriculture
Eastern Asia,1992,69,agriculture
Eastern Asia,1991,66,agriculture
Eastern Asia,1990,64,agriculture
Eastern Asia,1989,60,agriculture
Eastern Asia,1988,59,agriculture
Eastern Asia,1987,57,agriculture
Eastern Asia,1986,55,agriculture
Eastern Asia,1985,53,agriculture
Eastern Asia,1984,53,agriculture
Eastern Asia,1983,49,agriculture
Eastern Asia,1982,46,agriculture
Eastern Asia,1981,43,agriculture
Eastern Asia,1980,41,agriculture
Eastern Asia,1979,41,agriculture
Eastern Asia,1978,40,agriculture
Eastern Asia,1977,37,agriculture
Eastern Asia,1976,35,agriculture
Eastern Asia,1975,36,agriculture
Eastern Asia,1974,35,agriculture
Eastern Asia,1973,35,agriculture
Eastern Asia,1972,32,agriculture
Eastern Asia,1971,32,agriculture
Eastern Asia,1970,31,agriculture
Eastern Asia,1969,29,agriculture
Eastern Asia,1968,29,agriculture
Eastern Asia,1967,29,agriculture
Eastern Asia,1966,28,agriculture
Eastern Asia,1965,27,agriculture
Eastern Asia,1964,25,agriculture
Eastern Asia,1963,23,agriculture
Eastern Asia,1962,22,agriculture
Eastern Asia,1961,21,agriculture
Eastern Europe,2007,106,agriculture
Eastern Europe,2006,108,agriculture
Eastern Europe,2005,108,agriculture
Eastern Europe,2004,111,agriculture
Eastern Europe,2003,100,agriculture
Eastern Europe,2002,104,agriculture
Eastern Europe,2001,105,agriculture
Eastern Europe,2000,98,agriculture
Eastern Europe,1999,96,agriculture
Eastern Europe,1998,98,agriculture
Eastern Europe,1997,107,agriculture
Eastern Europe,1996,107,agriculture
Eastern Europe,1995,110,agriculture
Eastern Europe,1994,112,agriculture
Eastern Europe,1993,127,agriculture
Eastern Europe,1992,127,agriculture
Eastern Europe,1991,163,agriculture
Eastern Europe,1990,180,agriculture
Eastern Europe,1989,181,agriculture
Eastern Europe,1988,176,agriculture
Eastern Europe,1987,175,agriculture
Eastern Europe,1986,178,agriculture
Eastern Europe,1985,169,agriculture
Eastern Europe,1984,171,agriculture
Eastern Europe,1983,168,agriculture
Eastern Europe,1982,164,agriculture
Eastern Europe,1981,156,agriculture
Eastern Europe,1980,157,agriculture
Eastern Europe,1979,164,agriculture
Eastern Europe,1978,172,agriculture
Eastern Europe,1977,162,agriculture
Eastern Europe,1976,163,agriculture
Eastern Europe,1975,151,agriculture
Eastern Europe,1974,156,agriculture
Eastern Europe,1973,162,agriculture
Eastern Europe,1972,143,agriculture
Eastern Europe,1971,145,agriculture
Eastern Europe,1970,143,agriculture
Eastern Europe,1969,137,agriculture
Eastern Europe,1968,143,agriculture
Eastern Europe,1967,135,agriculture
Eastern Europe,1966,132,agriculture
Eastern Europe,1965,118,agriculture
Eastern Europe,1964,119,agriculture
Eastern Europe,1963,107,agriculture
Eastern Europe,1962,108,agriculture
Eastern Europe,1961,109,agriculture
Europe,2007,98,agriculture
Europe,2006,99,agriculture
Europe,2005,101,agriculture
Europe,2004,105,agriculture
Europe,2003,97,agriculture
Europe,2002,101,agriculture
Europe,2001,100,agriculture
Europe,2000,99,agriculture
Europe,1999,99,agriculture
Europe,1998,98,agriculture
Europe,1997,101,agriculture
Europe,1996,101,agriculture
Europe,1995,99,agriculture
Europe,1994,99,agriculture
Europe,1993,105,agriculture
Europe,1992,107,agriculture
Europe,1991,118,agriculture
Europe,1990,123,agriculture
Europe,1989,124,agriculture
Europe,1988,121,agriculture
Europe,1987,122,agriculture
Europe,1986,123,agriculture
Europe,1985,119,agriculture
Europe,1984,121,agriculture
Europe,1983,117,agriculture
Europe,1982,116,agriculture
Europe,1981,111,agriculture
Europe,1980,112,agriculture
Europe,1979,114,agriculture
Europe,1978,114,agriculture
Europe,1977,108,agriculture
Europe,1976,107,agriculture
Europe,1975,104,agriculture
Europe,1974,107,agriculture
Europe,1973,107,agriculture
Europe,1972,98,agriculture
Europe,1971,99,agriculture
Europe,1970,98,agriculture
Europe,1969,94,agriculture
Europe,1968,97,agriculture
Europe,1967,94,agriculture
Europe,1966,90,agriculture
Europe,1965,85,agriculture
Europe,1964,85,agriculture
Europe,1963,81,agriculture
Europe,1962,80,agriculture
Europe,1961,78,agriculture
European Union,2007,94,agriculture
European Union,2006,95,agriculture
European Union,2005,98,agriculture
European Union,2004,103,agriculture
European Union,2003,96,agriculture
European Union,2002,99,agriculture
European Union,2001,99,agriculture
European Union,2000,100,agriculture
European Union,1999,99,agriculture
European Union,1998,98,agriculture
European Union,1997,97,agriculture
European Union,1996,97,agriculture
European Union,1995,93,agriculture
European Union,1994,92,agriculture
European Union,1993,95,agriculture
European Union,1992,93,agriculture
European Union,1991,93,agriculture
European Union,1990,94,agriculture
European Union,1989,94,agriculture
European Union,1988,93,agriculture
European Union,1987,95,agriculture
European Union,1986,95,agriculture
European Union,1985,94,agriculture
European Union,1984,96,agriculture
European Union,1983,91,agriculture
European Union,1982,92,agriculture
European Union,1981,88,agriculture
European Union,1980,89,agriculture
European Union,1979,89,agriculture
European Union,1978,86,agriculture
European Union,1977,82,agriculture
European Union,1976,81,agriculture
European Union,1975,81,agriculture
European Union,1974,82,agriculture
European Union,1973,81,agriculture
European Union,1972,77,agriculture
European Union,1971,75,agriculture
European Union,1970,75,agriculture
European Union,1969,73,agriculture
European Union,1968,74,agriculture
European Union,1967,73,agriculture
European Union,1966,70,agriculture
European Union,1965,68,agriculture
European Union,1964,67,agriculture
European Union,1963,67,agriculture
European Union,1962,65,agriculture
European Union,1961,63,agriculture
LandLocked developing countries,2007,124,agriculture
LandLocked developing countries,2006,121,agriculture
LandLocked developing countries,2005,119,agriculture
LandLocked developing countries,2004,113,agriculture
LandLocked developing countries,2003,111,agriculture
LandLocked developing countries,2002,107,agriculture
LandLocked developing countries,2001,104,agriculture
LandLocked developing countries,2000,97,agriculture
LandLocked developing countries,1999,97,agriculture
LandLocked developing countries,1998,92,agriculture
LandLocked developing countries,1997,91,agriculture
LandLocked developing countries,1996,89,agriculture
LandLocked developing countries,1995,89,agriculture
LandLocked developing countries,1994,89,agriculture
LandLocked developing countries,1993,93,agriculture
LandLocked developing countries,1992,87,agriculture
LandLocked developing countries,1991,43,agriculture
LandLocked developing countries,1990,42,agriculture
LandLocked developing countries,1989,41,agriculture
LandLocked developing countries,1988,39,agriculture
LandLocked developing countries,1987,36,agriculture
LandLocked developing countries,1986,36,agriculture
LandLocked developing countries,1985,36,agriculture
LandLocked developing countries,1984,34,agriculture
LandLocked developing countries,1983,34,agriculture
LandLocked developing countries,1982,34,agriculture
LandLocked developing countries,1981,33,agriculture
LandLocked developing countries,1980,32,agriculture
LandLocked developing countries,1979,31,agriculture
LandLocked developing countries,1978,33,agriculture
LandLocked developing countries,1977,32,agriculture
LandLocked developing countries,1976,32,agriculture
LandLocked developing countries,1975,32,agriculture
LandLocked developing countries,1974,30,agriculture
LandLocked developing countries,1973,29,agriculture
LandLocked developing countries,1972,29,agriculture
LandLocked developing countries,1971,28,agriculture
LandLocked developing countries,1970,28,agriculture
LandLocked developing countries,1969,27,agriculture
LandLocked developing countries,1968,25,agriculture
LandLocked developing countries,1967,25,agriculture
LandLocked developing countries,1966,23,agriculture
LandLocked developing countries,1965,22,agriculture
LandLocked developing countries,1964,22,agriculture
LandLocked developing countries,1963,21,agriculture
LandLocked developing countries,1962,21,agriculture
LandLocked developing countries,1961,20,agriculture
Least Developed Countries,2007,126,agriculture
Least Developed Countries,2006,123,agriculture
Least Developed Countries,2005,119,agriculture
Least Developed Countries,2004,113,agriculture
Least Developed Countries,2003,110,agriculture
Least Developed Countries,2002,106,agriculture
Least Developed Countries,2001,104,agriculture
Least Developed Countries,2000,99,agriculture
Least Developed Countries,1999,96,agriculture
Least Developed Countries,1998,91,agriculture
Least Developed Countries,1997,88,agriculture
Least Developed Countries,1996,87,agriculture
Least Developed Countries,1995,82,agriculture
Least Developed Countries,1994,80,agriculture
Least Developed Countries,1993,78,agriculture
Least Developed Countries,1992,77,agriculture
Least Developed Countries,1991,76,agriculture
Least Developed Countries,1990,74,agriculture
Least Developed Countries,1989,73,agriculture
Least Developed Countries,1988,72,agriculture
Least Developed Countries,1987,69,agriculture
Least Developed Countries,1986,70,agriculture
Least Developed Countries,1985,68,agriculture
Least Developed Countries,1984,65,agriculture
Least Developed Countries,1983,66,agriculture
Least Developed Countries,1982,65,agriculture
Least Developed Countries,1981,64,agriculture
Least Developed Countries,1980,61,agriculture
Least Developed Countries,1979,59,agriculture
Least Developed Countries,1978,61,agriculture
Least Developed Countries,1977,59,agriculture
Least Developed Countries,1976,58,agriculture
Least Developed Countries,1975,58,agriculture
Least Developed Countries,1974,55,agriculture
Least Developed Countries,1973,54,agriculture
Least Developed Countries,1972,53,agriculture
Least Developed Countries,1971,53,agriculture
Least Developed Countries,1970,54,agriculture
Least Developed Countries,1969,53,agriculture
Least Developed Countries,1968,51,agriculture
Least Developed Countries,1967,50,agriculture
Least Developed Countries,1966,46,agriculture
Least Developed Countries,1965,46,agriculture
Least Developed Countries,1964,46,agriculture
Least Developed Countries,1963,45,agriculture
Least Developed Countries,1962,43,agriculture
Least Developed Countries,1961,42,agriculture
Melanesia,2007,109,agriculture
Melanesia,2006,108,agriculture
Melanesia,2005,108,agriculture
Melanesia,2004,106,agriculture
Melanesia,2003,103,agriculture
Melanesia,2002,102,agriculture
Melanesia,2001,99,agriculture
Melanesia,2000,101,agriculture
Melanesia,1999,99,agriculture
Melanesia,1998,95,agriculture
Melanesia,1997,93,agriculture
Melanesia,1996,92,agriculture
Melanesia,1995,88,agriculture
Melanesia,1994,87,agriculture
Melanesia,1993,87,agriculture
Melanesia,1992,84,agriculture
Melanesia,1991,81,agriculture
Melanesia,1990,81,agriculture
Melanesia,1989,80,agriculture
Melanesia,1988,78,agriculture
Melanesia,1987,77,agriculture
Melanesia,1986,77,agriculture
Melanesia,1985,76,agriculture
Melanesia,1984,75,agriculture
Melanesia,1983,70,agriculture
Melanesia,1982,70,agriculture
Melanesia,1981,69,agriculture
Melanesia,1980,67,agriculture
Melanesia,1979,66,agriculture
Melanesia,1978,63,agriculture
Melanesia,1977,61,agriculture
Melanesia,1976,60,agriculture
Melanesia,1975,58,agriculture
Melanesia,1974,57,agriculture
Melanesia,1973,55,agriculture
Melanesia,1972,54,agriculture
Melanesia,1971,54,agriculture
Melanesia,1970,53,agriculture
Melanesia,1969,51,agriculture
Melanesia,1968,50,agriculture
Melanesia,1967,48,agriculture
Melanesia,1966,47,agriculture
Melanesia,1965,45,agriculture
Melanesia,1964,46,agriculture
Melanesia,1963,44,agriculture
Melanesia,1962,42,agriculture
Melanesia,1961,40,agriculture
Micronesia,2007,121,agriculture
Micronesia,2006,116,agriculture
Micronesia,2005,116,agriculture
Micronesia,2004,116,agriculture
Micronesia,2003,108,agriculture
Micronesia,2002,102,agriculture
Micronesia,2001,97,agriculture
Micronesia,2000,97,agriculture
Micronesia,1999,104,agriculture
Micronesia,1998,105,agriculture
Micronesia,1997,106,agriculture
Micronesia,1996,107,agriculture
Micronesia,1995,99,agriculture
Micronesia,1994,68,agriculture
Micronesia,1993,67,agriculture
Micronesia,1992,69,agriculture
Micronesia,1991,65,agriculture
Micronesia,1990,107,agriculture
Micronesia,1989,113,agriculture
Micronesia,1988,133,agriculture
Micronesia,1987,140,agriculture
Micronesia,1986,136,agriculture
Micronesia,1985,132,agriculture
Micronesia,1984,125,agriculture
Micronesia,1983,108,agriculture
Micronesia,1982,112,agriculture
Micronesia,1981,126,agriculture
Micronesia,1980,122,agriculture
Micronesia,1979,135,agriculture
Micronesia,1978,137,agriculture
Micronesia,1977,114,agriculture
Micronesia,1976,96,agriculture
Micronesia,1975,98,agriculture
Micronesia,1974,103,agriculture
Micronesia,1973,95,agriculture
Micronesia,1972,94,agriculture
Micronesia,1971,101,agriculture
Micronesia,1970,95,agriculture
Micronesia,1969,81,agriculture
Micronesia,1968,72,agriculture
Micronesia,1967,84,agriculture
Micronesia,1966,81,agriculture
Micronesia,1965,80,agriculture
Micronesia,1964,72,agriculture
Micronesia,1963,72,agriculture
Micronesia,1962,72,agriculture
Micronesia,1961,73,agriculture
Middle Africa,2007,109,agriculture
Middle Africa,2006,113,agriculture
Middle Africa,2005,111,agriculture
Middle Africa,2004,108,agriculture
Middle Africa,2003,106,agriculture
Middle Africa,2002,103,agriculture
Middle Africa,2001,102,agriculture
Middle Africa,2000,99,agriculture
Middle Africa,1999,98,agriculture
Middle Africa,1998,99,agriculture
Middle Africa,1997,94,agriculture
Middle Africa,1996,95,agriculture
Middle Africa,1995,91,agriculture
Middle Africa,1994,97,agriculture
Middle Africa,1993,91,agriculture
Middle Africa,1992,92,agriculture
Middle Africa,1991,90,agriculture
Middle Africa,1990,87,agriculture
Middle Africa,1989,85,agriculture
Middle Africa,1988,83,agriculture
Middle Africa,1987,80,agriculture
Middle Africa,1986,81,agriculture
Middle Africa,1985,78,agriculture
Middle Africa,1984,74,agriculture
Middle Africa,1983,74,agriculture
Middle Africa,1982,73,agriculture
Middle Africa,1981,70,agriculture
Middle Africa,1980,70,agriculture
Middle Africa,1979,68,agriculture
Middle Africa,1978,66,agriculture
Middle Africa,1977,67,agriculture
Middle Africa,1976,67,agriculture
Middle Africa,1975,68,agriculture
Middle Africa,1974,68,agriculture
Middle Africa,1973,65,agriculture
Middle Africa,1972,64,agriculture
Middle Africa,1971,64,agriculture
Middle Africa,1970,63,agriculture
Middle Africa,1969,61,agriculture
Middle Africa,1968,60,agriculture
Middle Africa,1967,57,agriculture
Middle Africa,1966,55,agriculture
Middle Africa,1965,54,agriculture
Middle Africa,1964,54,agriculture
Middle Africa,1963,53,agriculture
Middle Africa,1962,52,agriculture
Middle Africa,1961,49,agriculture
Northern Africa,2007,119,agriculture
Northern Africa,2006,126,agriculture
Northern Africa,2005,119,agriculture
Northern Africa,2004,117,agriculture
Northern Africa,2003,116,agriculture
Northern Africa,2002,105,agriculture
Northern Africa,2001,101,agriculture
Northern Africa,2000,98,agriculture
Northern Africa,1999,99,agriculture
Northern Africa,1998,96,agriculture
Northern Africa,1997,91,agriculture
Northern Africa,1996,96,agriculture
Northern Africa,1995,80,agriculture
Northern Africa,1994,80,agriculture
Northern Africa,1993,77,agriculture
Northern Africa,1992,77,agriculture
Northern Africa,1991,77,agriculture
Northern Africa,1990,70,agriculture
Northern Africa,1989,65,agriculture
Northern Africa,1988,63,agriculture
Northern Africa,1987,62,agriculture
Northern Africa,1986,62,agriculture
Northern Africa,1985,59,agriculture
Northern Africa,1984,53,agriculture
Northern Africa,1983,53,agriculture
Northern Africa,1982,52,agriculture
Northern Africa,1981,51,agriculture
Northern Africa,1980,51,agriculture
Northern Africa,1979,49,agriculture
Northern Africa,1978,47,agriculture
Northern Africa,1977,45,agriculture
Northern Africa,1976,47,agriculture
Northern Africa,1975,47,agriculture
Northern Africa,1974,46,agriculture
Northern Africa,1973,43,agriculture
Northern Africa,1972,43,agriculture
Northern Africa,1971,44,agriculture
Northern Africa,1970,41,agriculture
Northern Africa,1969,39,agriculture
Northern Africa,1968,40,agriculture
Northern Africa,1967,35,agriculture
Northern Africa,1966,34,agriculture
Northern Africa,1965,37,agriculture
Northern Africa,1964,35,agriculture
Northern Africa,1963,36,agriculture
Northern Africa,1962,34,agriculture
Northern Africa,1961,30,agriculture
Northern America,2007,107,agriculture
Northern America,2006,103,agriculture
Northern America,2005,106,agriculture
Northern America,2004,106,agriculture
Northern America,2003,100,agriculture
Northern America,2002,96,agriculture
Northern America,2001,98,agriculture
